"player","score","minutes","pm","tags","pops","grabs","drops","hold","captures","prevent","returns","pups","pupscomp","flaccids","longholds","handoff","goodhandoff","goregrab","coregrab","gohandoff","cohandoff","retinbase","quickret","saves","holdagainst","season","scpm","success_rate","tpm","poppm","droppm","gpm","hpm","cpm","ppm","rpm","pupm","kdr","limp","LHpm","handpm","GHpm","gorepm","corepm","copm","inbasepm","quickpm","savepm","HApm","cap_per","position"
"NEB.",594,170,-3,164,220,158,143,836,11,1591,125,55,342,54,5,39,27,34,3,10,0,50,44,0,4531,"21",3.49411764705882,-0.0176470588235294,0.964705882352941,1.29411764705882,0.841176470588235,0.929411764705882,4.91764705882353,0.0647058823529412,9.35882352941177,0.735294117647059,0.323529411764706,0.745454545454545,0.317647058823529,0.0294117647058824,0.229411764705882,0.158823529411765,0.2,0.0176470588235294,0,0.294117647058824,0.258823529411765,0,26.6529411764706,6.9620253164557,"Defense"
"Suchit",547,120,7,185,117,92,76,616,14,1677,148,30,216,25,4,23,15,23,2,13,1,71,66,3,3053,"21",4.55833333333333,0.0583333333333333,1.54166666666667,0.975,0.633333333333333,0.766666666666667,5.13333333333333,0.116666666666667,13.975,1.23333333333333,0.25,1.58119658119658,0.208333333333333,0.0333333333333333,0.191666666666667,0.125,0.191666666666667,0.0166666666666667,0.00833333333333333,0.591666666666667,0.55,0.025,25.4416666666667,15.2173913043478,"Defense"
"FLY",525,140,-13,195,133,70,66,447,4,1774,162,32,288,26,4,20,10,16,2,7,0,72,62,3,4013,"21",3.75,-0.0928571428571429,1.39285714285714,0.95,0.471428571428571,0.5,3.19285714285714,0.0285714285714286,12.6714285714286,1.15714285714286,0.228571428571429,1.46616541353383,0.185714285714286,0.0285714285714286,0.142857142857143,0.0714285714285714,0.114285714285714,0.0142857142857143,0,0.514285714285714,0.442857142857143,0.0214285714285714,28.6642857142857,5.71428571428571,"Defense"
"hz",491,120,18,146,112,72,62,562,9,1872,136,19,234,17,7,17,9,25,6,5,0,66,60,0,3082,"21",4.09166666666667,0.15,1.21666666666667,0.933333333333333,0.516666666666667,0.6,4.68333333333333,0.075,15.6,1.13333333333333,0.158333333333333,1.30357142857143,0.141666666666667,0.0583333333333333,0.141666666666667,0.075,0.208333333333333,0.05,0,0.55,0.5,0,25.6833333333333,12.5,"Defense"
"GeT_RiGhT",416,120,-9,164,121,71,66,332,4,1522,139,29,234,25,2,23,12,10,0,9,0,62,58,2,3578,"21",3.46666666666667,-0.075,1.36666666666667,1.00833333333333,0.55,0.591666666666667,2.76666666666667,0.0333333333333333,12.6833333333333,1.15833333333333,0.241666666666667,1.35537190082645,0.208333333333333,0.0166666666666667,0.191666666666667,0.1,0.0833333333333333,0,0,0.516666666666667,0.483333333333333,0.0166666666666667,29.8166666666667,5.63380281690141,"Defense"
"aaron",1184,280,17,474,288,169,155,1048,12,4007,367,99,612,59,12,51,33,30,5,25,1,173,151,3,7203,"22",4.22857142857143,0.0607142857142857,1.69285714285714,1.02857142857143,0.553571428571429,0.603571428571429,3.74285714285714,0.0428571428571429,14.3107142857143,1.31071428571429,0.353571428571429,1.64583333333333,0.210714285714286,0.0428571428571429,0.182142857142857,0.117857142857143,0.107142857142857,0.0178571428571429,0.00357142857142857,0.617857142857143,0.539285714285714,0.0107142857142857,25.725,7.10059171597633,"Defense"
"Arbybear",1061,280,-32,431,272,157,148,658,8,4856,377,49,612,66,0,49,27,43,6,14,0,187,179,0,7092,"22",3.78928571428571,-0.114285714285714,1.53928571428571,0.971428571428571,0.528571428571429,0.560714285714286,2.35,0.0285714285714286,17.3428571428571,1.34642857142857,0.175,1.58455882352941,0.235714285714286,0,0.175,0.0964285714285714,0.153571428571429,0.0214285714285714,0,0.667857142857143,0.639285714285714,0,25.3285714285714,5.09554140127389,"Defense"
"Djinni",642,160,11,197,138,109,97,668,11,2093,166,45,342,27,6,30,13,34,5,7,0,52,55,5,4144,"22",4.0125,0.06875,1.23125,0.8625,0.60625,0.68125,4.175,0.06875,13.08125,1.0375,0.28125,1.42753623188406,0.16875,0.0375,0.1875,0.08125,0.2125,0.03125,0,0.325,0.34375,0.03125,25.9,10.0917431192661,"Defense"
"Curry",786,260,-29,313,279,185,179,973,5,3755,284,43,567,71,8,64,33,39,1,20,1,129,104,5,6752,"22",3.02307692307692,-0.111538461538462,1.20384615384615,1.07307692307692,0.688461538461538,0.711538461538462,3.74230769230769,0.0192307692307692,14.4423076923077,1.09230769230769,0.165384615384615,1.12186379928315,0.273076923076923,0.0307692307692308,0.246153846153846,0.126923076923077,0.15,0.00384615384615385,0.00384615384615385,0.496153846153846,0.4,0.0192307692307692,25.9692307692308,2.7027027027027,"Defense"
"OldRoller",1226,280,13,415,277,195,173,1588,21,3647,348,80,612,65,22,69,47,43,5,22,2,153,154,5,7795,"22",4.37857142857143,0.0464285714285714,1.48214285714286,0.989285714285714,0.617857142857143,0.696428571428571,5.67142857142857,0.075,13.025,1.24285714285714,0.285714285714286,1.49819494584838,0.232142857142857,0.0785714285714286,0.246428571428571,0.167857142857143,0.153571428571429,0.0178571428571429,0.00714285714285714,0.546428571428571,0.55,0.0178571428571429,27.8392857142857,10.7692307692308,"Defense"
"Altiger",1027,280,33,385,324,241,226,1659,12,2182,318,84,612,85,21,58,46,72,5,27,2,112,101,5,7236,"22",3.66785714285714,0.117857142857143,1.375,1.15714285714286,0.807142857142857,0.860714285714286,5.925,0.0428571428571429,7.79285714285714,1.13571428571429,0.3,1.18827160493827,0.303571428571429,0.075,0.207142857142857,0.164285714285714,0.257142857142857,0.0178571428571429,0.00714285714285714,0.4,0.360714285714286,0.0178571428571429,25.8428571428571,4.9792531120332,"Defense"
"q42",1061,280,13,356,271,168,157,1051,9,4144,288,72,612,48,6,67,47,59,6,21,0,145,132,3,7389,"22",3.78928571428571,0.0464285714285714,1.27142857142857,0.967857142857143,0.560714285714286,0.6,3.75357142857143,0.0321428571428571,14.8,1.02857142857143,0.257142857142857,1.31365313653137,0.171428571428571,0.0214285714285714,0.239285714285714,0.167857142857143,0.210714285714286,0.0214285714285714,0,0.517857142857143,0.471428571428571,0.0107142857142857,26.3892857142857,5.35714285714286,"Defense"
"DT",1337,280,33,462,251,209,175,1451,28,3977,363,94,612,45,12,72,41,46,6,21,6,169,150,6,7236,"22",4.775,0.117857142857143,1.65,0.896428571428571,0.625,0.746428571428571,5.18214285714286,0.1,14.2035714285714,1.29642857142857,0.335714285714286,1.8406374501992,0.160714285714286,0.0428571428571429,0.257142857142857,0.146428571428571,0.164285714285714,0.0214285714285714,0.0214285714285714,0.603571428571429,0.535714285714286,0.0214285714285714,25.8428571428571,13.3971291866029,"Defense"
"TomatoFarmer",516,120,4,192,23,3,3,43,0,2659,158,35,252,0,1,2,1,0,0,0,0,76,70,0,2480,"22",4.3,0.0333333333333333,1.6,0.191666666666667,0.025,0.025,0.358333333333333,0,22.1583333333333,1.31666666666667,0.291666666666667,8.34782608695652,0,0.00833333333333333,0.0166666666666667,0.00833333333333333,0,0,0,0.633333333333333,0.583333333333333,0,20.6666666666667,0,"Defense"
"mex",1388,280,6,520,198,133,114,808,18,4464,456,95,612,41,6,49,30,26,1,12,1,192,198,1,6742,"22",4.95714285714286,0.0214285714285714,1.85714285714286,0.707142857142857,0.407142857142857,0.475,2.88571428571429,0.0642857142857143,15.9428571428571,1.62857142857143,0.339285714285714,2.62626262626263,0.146428571428571,0.0214285714285714,0.175,0.107142857142857,0.0928571428571429,0.00357142857142857,0.00357142857142857,0.685714285714286,0.707142857142857,0.00357142857142857,24.0785714285714,13.5338345864662,"Defense"
"thenewguy.",1269,280,25,465,263,168,156,1195,9,4443,384,93,612,53,9,44,34,41,3,11,3,151,146,5,6985,"22",4.53214285714286,0.0892857142857143,1.66071428571429,0.939285714285714,0.557142857142857,0.6,4.26785714285714,0.0321428571428571,15.8678571428571,1.37142857142857,0.332142857142857,1.7680608365019,0.189285714285714,0.0321428571428571,0.157142857142857,0.121428571428571,0.146428571428571,0.0107142857142857,0.0107142857142857,0.539285714285714,0.521428571428571,0.0178571428571429,24.9464285714286,5.35714285714286,"Defense"
"Eashy",467,120,8,149,78,44,40,298,3,2403,130,27,252,8,2,17,14,11,1,5,0,60,40,0,2652,"22",3.89166666666667,0.0666666666666667,1.24166666666667,0.65,0.333333333333333,0.366666666666667,2.48333333333333,0.025,20.025,1.08333333333333,0.225,1.91025641025641,0.0666666666666667,0.0166666666666667,0.141666666666667,0.116666666666667,0.0916666666666667,0.00833333333333333,0,0.5,0.333333333333333,0,22.1,6.81818181818182,"Defense"
"Crippy",1213,280,-5,445,302,240,222,1315,15,3839,387,79,612,78,7,80,50,29,3,28,3,151,140,3,7298,"22",4.33214285714286,-0.0178571428571429,1.58928571428571,1.07857142857143,0.792857142857143,0.857142857142857,4.69642857142857,0.0535714285714286,13.7107142857143,1.38214285714286,0.282142857142857,1.47350993377483,0.278571428571429,0.025,0.285714285714286,0.178571428571429,0.103571428571429,0.0107142857142857,0.0107142857142857,0.539285714285714,0.5,0.0107142857142857,26.0642857142857,6.25,"Defense"
"waterwheel",449,120,5,125,105,72,65,446,7,1768,106,38,270,21,3,22,15,22,2,6,0,46,44,1,3051,"22",3.74166666666667,0.0416666666666667,1.04166666666667,0.875,0.541666666666667,0.6,3.71666666666667,0.0583333333333333,14.7333333333333,0.883333333333333,0.316666666666667,1.19047619047619,0.175,0.025,0.183333333333333,0.125,0.183333333333333,0.0166666666666667,0,0.383333333333333,0.366666666666667,0.00833333333333333,25.425,9.72222222222222,"Defense"
"Doris",542,120,-17,202,99,64,57,304,5,1764,172,45,252,25,2,16,9,19,2,6,0,71,62,1,3160,"22",4.51666666666667,-0.141666666666667,1.68333333333333,0.825,0.475,0.533333333333333,2.53333333333333,0.0416666666666667,14.7,1.43333333333333,0.375,2.04040404040404,0.208333333333333,0.0166666666666667,0.133333333333333,0.075,0.158333333333333,0.0166666666666667,0,0.591666666666667,0.516666666666667,0.00833333333333333,26.3333333333333,7.8125,"Defense"
"ref",843,240,-19,281,293,201,187,1301,13,2774,227,68,522,60,11,58,39,53,5,24,1,104,88,4,6227,"22",3.5125,-0.0791666666666667,1.17083333333333,1.22083333333333,0.779166666666667,0.8375,5.42083333333333,0.0541666666666667,11.5583333333333,0.945833333333333,0.283333333333333,0.959044368600683,0.25,0.0458333333333333,0.241666666666667,0.1625,0.220833333333333,0.0208333333333333,0.00416666666666667,0.433333333333333,0.366666666666667,0.0166666666666667,25.9458333333333,6.46766169154229,"Defense"
"omar",780,200,20,276,206,134,122,735,12,2701,233,53,450,51,8,38,23,33,3,14,1,110,95,2,5475,"22",3.9,0.1,1.38,1.03,0.61,0.67,3.675,0.06,13.505,1.165,0.265,1.33980582524272,0.255,0.04,0.19,0.115,0.165,0.015,0.005,0.55,0.475,0.01,27.375,8.95522388059701,"Defense"
"Zig!",492,131,-25,155,116,75,70,443,4,2177,142,19,297,27,3,22,16,25,0,10,1,66,68,1,3758,"22",3.75572519083969,-0.190839694656489,1.18320610687023,0.885496183206107,0.534351145038168,0.572519083969466,3.38167938931298,0.0305343511450382,16.618320610687,1.08396946564885,0.145038167938931,1.33620689655172,0.206106870229008,0.0229007633587786,0.16793893129771,0.122137404580153,0.190839694656489,0,0.00763358778625954,0.50381679389313,0.519083969465649,0.00763358778625954,28.6870229007634,5.33333333333333,"Defense"
"FM",677,160,2,291,123,91,84,590,7,2358,246,36,360,28,4,31,20,29,2,7,1,112,107,0,4262,"22",4.23125,0.0125,1.81875,0.76875,0.525,0.56875,3.6875,0.04375,14.7375,1.5375,0.225,2.36585365853659,0.175,0.025,0.19375,0.125,0.18125,0.0125,0.00625,0.7,0.66875,0,26.6375,7.69230769230769,"Defense"
"Wanye",418,120,-22,136,162,145,133,868,11,1137,117,26,270,49,8,53,25,30,3,18,1,49,43,5,3429,"22",3.48333333333333,-0.183333333333333,1.13333333333333,1.35,1.10833333333333,1.20833333333333,7.23333333333333,0.0916666666666667,9.475,0.975,0.216666666666667,0.839506172839506,0.408333333333333,0.0666666666666667,0.441666666666667,0.208333333333333,0.25,0.025,0.00833333333333333,0.408333333333333,0.358333333333333,0.0416666666666667,28.575,7.58620689655172,"Defense"
"grunt",553,120,6,197,124,81,69,442,11,1913,162,40,270,25,1,29,23,16,1,9,4,85,78,1,3059,"22",4.60833333333333,0.05,1.64166666666667,1.03333333333333,0.575,0.675,3.68333333333333,0.0916666666666667,15.9416666666667,1.35,0.333333333333333,1.58870967741935,0.208333333333333,0.00833333333333333,0.241666666666667,0.191666666666667,0.133333333333333,0.00833333333333333,0.0333333333333333,0.708333333333333,0.65,0.00833333333333333,25.4916666666667,13.5802469135802,"Defense"
