"player","score","minutes","pm","tags","pops","grabs","drops","hold","captures","prevent","returns","pups","pupscomp","flaccids","longholds","handoff","goodhandoff","goregrab","coregrab","gohandoff","cohandoff","retinbase","quickret","saves","holdagainst","season","scpm","success_rate","tpm","poppm","droppm","gpm","hpm","cpm","ppm","rpm","pupm","kdr","limp","LHpm","handpm","GHpm","gorepm","corepm","copm","inbasepm","quickpm","savepm","HApm","cap_per","position"
"GOOBR",1117,280,33,255,446,422,371,3007,49,857,178,74,612,120,28,107,81,98,16,51,6,59,42,1,7209,"20",3.98928571428571,0.117857142857143,0.910714285714286,1.59285714285714,1.325,1.50714285714286,10.7392857142857,0.175,3.06071428571429,0.635714285714286,0.264285714285714,0.571748878923767,0.428571428571429,0.1,0.382142857142857,0.289285714285714,0.35,0.0571428571428571,0.0214285714285714,0.210714285714286,0.15,0.00357142857142857,25.7464285714286,11.6113744075829,"Offense"
"boogie",546,200,-28,137,334,280,263,1367,14,602,103,50,432,111,10,74,51,75,6,28,0,24,20,2,5681,"20",2.73,-0.14,0.685,1.67,1.315,1.4,6.835,0.07,3.01,0.515,0.25,0.410179640718563,0.555,0.05,0.37,0.255,0.375,0.03,0,0.12,0.1,0.01,28.405,5,"Offense"
"gg!",893,280,-44,140,453,446,397,4058,41,335,96,62,612,112,60,126,83,106,14,43,2,26,26,4,7843,"20",3.18928571428571,-0.157142857142857,0.5,1.61785714285714,1.41785714285714,1.59285714285714,14.4928571428571,0.146428571428571,1.19642857142857,0.342857142857143,0.221428571428571,0.309050772626932,0.4,0.214285714285714,0.45,0.296428571428571,0.378571428571429,0.05,0.00714285714285714,0.0928571428571429,0.0928571428571429,0.0142857142857143,28.0107142857143,9.19282511210762,"Offense"
"#SelfySyntax",361,124,11,75,217,198,183,1138,15,402,46,38,297,73,6,60,38,49,5,13,0,14,14,3,3497,"20",2.91129032258065,0.0887096774193548,0.604838709677419,1.75,1.4758064516129,1.59677419354839,9.17741935483871,0.120967741935484,3.24193548387097,0.370967741935484,0.306451612903226,0.345622119815668,0.588709677419355,0.0483870967741935,0.483870967741935,0.306451612903226,0.395161290322581,0.0403225806451613,0,0.112903225806452,0.112903225806452,0.0241935483870968,28.2016129032258,7.57575757575758,"Offense"
"Frozen",768,240,-11,170,438,394,366,2328,26,668,132,64,522,128,20,95,56,77,6,40,4,26,24,0,6260,"20",3.2,-0.0458333333333333,0.708333333333333,1.825,1.525,1.64166666666667,9.7,0.108333333333333,2.78333333333333,0.55,0.266666666666667,0.388127853881279,0.533333333333333,0.0833333333333333,0.395833333333333,0.233333333333333,0.320833333333333,0.025,0.0166666666666667,0.108333333333333,0.1,0,26.0833333333333,6.5989847715736,"Offense"
"ooo killem",678,200,-8,141,322,286,266,1961,17,960,118,53,432,85,18,80,59,80,6,28,0,37,30,4,5341,"21",3.39,-0.04,0.705,1.61,1.33,1.43,9.805,0.085,4.8,0.59,0.265,0.437888198757764,0.425,0.09,0.4,0.295,0.4,0.03,0,0.185,0.15,0.02,26.705,5.94405594405594,"Offense"
"Mr. Hat",982,280,-14,312,576,514,482,3195,28,765,238,86,576,180,27,130,78,88,8,41,1,59,53,5,7548,"21",3.50714285714286,-0.05,1.11428571428571,2.05714285714286,1.72142857142857,1.83571428571429,11.4107142857143,0.1,2.73214285714286,0.85,0.307142857142857,0.541666666666667,0.642857142857143,0.0964285714285714,0.464285714285714,0.278571428571429,0.314285714285714,0.0285714285714286,0.00357142857142857,0.210714285714286,0.189285714285714,0.0178571428571429,26.9571428571429,5.44747081712062,"Offense"
"KOBE*BRYANT",712,200,2,179,343,290,268,2107,20,527,139,40,450,89,27,72,48,53,4,32,2,30,27,2,5140,"21",3.56,0.01,0.895,1.715,1.34,1.45,10.535,0.1,2.635,0.695,0.2,0.521865889212828,0.445,0.135,0.36,0.24,0.265,0.02,0.01,0.15,0.135,0.01,25.7,6.89655172413793,"Offense"
"pulpo",873,280,37,136,522,472,423,2651,42,906,99,56,576,156,23,119,77,120,13,33,4,37,30,2,6662,"21",3.11785714285714,0.132142857142857,0.485714285714286,1.86428571428571,1.51071428571429,1.68571428571429,9.46785714285714,0.15,3.23571428571429,0.353571428571429,0.2,0.260536398467433,0.557142857142857,0.0821428571428571,0.425,0.275,0.428571428571429,0.0464285714285714,0.0142857142857143,0.132142857142857,0.107142857142857,0.00714285714285714,23.7928571428571,8.89830508474576,"Offense"
"DT",995,280,-24,224,397,358,323,2452,31,1218,186,69,576,107,23,92,56,81,10,31,1,62,53,3,7080,"21",3.55357142857143,-0.0857142857142857,0.8,1.41785714285714,1.15357142857143,1.27857142857143,8.75714285714286,0.110714285714286,4.35,0.664285714285714,0.246428571428571,0.564231738035264,0.382142857142857,0.0821428571428571,0.328571428571429,0.2,0.289285714285714,0.0357142857142857,0.00357142857142857,0.221428571428571,0.189285714285714,0.0107142857142857,25.2857142857143,8.65921787709497,"Offense"
"Maru",1025,280,37,233,486,434,396,3107,35,1187,177,65,576,133,40,105,70,87,8,48,2,52,44,3,6662,"21",3.66071428571429,0.132142857142857,0.832142857142857,1.73571428571429,1.41428571428571,1.55,11.0964285714286,0.125,4.23928571428571,0.632142857142857,0.232142857142857,0.479423868312757,0.475,0.142857142857143,0.375,0.25,0.310714285714286,0.0285714285714286,0.00714285714285714,0.185714285714286,0.157142857142857,0.0107142857142857,23.7928571428571,8.06451612903226,"Offense"
"gg!",965,280,-20,203,428,413,367,3425,40,629,174,52,576,92,45,134,92,85,10,43,9,59,48,3,7696,"21",3.44642857142857,-0.0714285714285714,0.725,1.52857142857143,1.31071428571429,1.475,12.2321428571429,0.142857142857143,2.24642857142857,0.621428571428571,0.185714285714286,0.474299065420561,0.328571428571429,0.160714285714286,0.478571428571429,0.328571428571429,0.303571428571429,0.0357142857142857,0.0321428571428571,0.210714285714286,0.171428571428571,0.0107142857142857,27.4857142857143,9.68523002421307,"Offense"
"sun chips",928,280,-20,220,432,375,332,2405,34,934,160,79,576,111,18,95,63,111,14,31,3,51,43,6,7696,"21",3.31428571428571,-0.0714285714285714,0.785714285714286,1.54285714285714,1.18571428571429,1.33928571428571,8.58928571428571,0.121428571428571,3.33571428571429,0.571428571428571,0.282142857142857,0.509259259259259,0.396428571428571,0.0642857142857143,0.339285714285714,0.225,0.396428571428571,0.05,0.0107142857142857,0.182142857142857,0.153571428571429,0.0214285714285714,27.4857142857143,9.06666666666667,"Offense"
"DragonBeast",949,280,-12,218,458,415,378,2677,34,678,169,76,576,140,32,75,49,73,11,27,3,47,48,4,7526,"21",3.38928571428571,-0.0428571428571429,0.778571428571429,1.63571428571429,1.35,1.48214285714286,9.56071428571429,0.121428571428571,2.42142857142857,0.603571428571429,0.271428571428571,0.475982532751092,0.5,0.114285714285714,0.267857142857143,0.175,0.260714285714286,0.0392857142857143,0.0107142857142857,0.167857142857143,0.171428571428571,0.0142857142857143,26.8785714285714,8.19277108433735,"Offense"
